level,isPromo,id,key,title,slug,link,picto,hasAlcohol,index,no_products
3,False,10221,10221,Batatas Lisas e Onduladas,batatas-lisas-e-onduladas,/shelves/mercearia/batatas-fritas-e-snacks/batatas-lisas-e-onduladas/10221,,,148,16
3,False,10219,10219,Batatas com Sabores,batatas-com-sabores,/shelves/mercearia/batatas-fritas-e-snacks/batatas-com-sabores/10219,,,149,21
3,False,10218,10218,Batatas Palha e Caseiras,batatas-palha-e-caseiras,/shelves/mercearia/batatas-fritas-e-snacks/batatas-palha-e-caseiras/10218,,,150,8
3,False,10222,10222,Snacks e Aperitivos,snacks-e-aperitivos,/shelves/mercearia/batatas-fritas-e-snacks/snacks-e-aperitivos/10222,,,151,38
3,False,10223,10223,Desidratados e Frutos Secos,desidratados-e-frutos-secos,/shelves/mercearia/batatas-fritas-e-snacks/desidratados-e-frutos-secos/10223,,,152,7
3,False,11726,11726,Pipocas,pipocas,/shelves/mercearia/batatas-fritas-e-snacks/pipocas/11726,,,153,3
3,False,11589,11589,"Douradinhos, Filetes e Crocantes",douradinhos-filetes-e-crocantes,/shelves/congelados/refeicoes/douradinhos-filetes-e-crocantes/11589,,,154,37
3,False,11587,11587,Hamburguers e Almôndegas,hamburguers-e-almondegas,/shelves/congelados/refeicoes/hamburguers-e-almondegas/11587,,,155,17
3,False,11588,11588,Entradas e Salgados,entradas-e-salgados,/shelves/congelados/refeicoes/entradas-e-salgados/11588,,,156,26
3,False,11584,11584,Pizzas,pizzas,/shelves/congelados/refeicoes/pizzas/11584,,,157,16
3,False,11585,11585,Lasanhas e Massas Italianas,lasanhas-e-massas-italianas,/shelves/congelados/refeicoes/lasanhas-e-massas-italianas/11585,,,158,5
3,False,11586,11586,Refeições,refeicoes,/shelves/congelados/refeicoes/refeicoes/11586,,,159,12
3,False,11576,11576,Peixe,peixe,/shelves/congelados/peixe-e-marisco/peixe/11576,,,160,40
3,False,11578,11578,Bacalhau,bacalhau,/shelves/congelados/peixe-e-marisco/bacalhau/11578,,,161,14
3,False,11577,11577,Marisco,marisco,/shelves/congelados/peixe-e-marisco/marisco/11577,,,162,28
3,False,11579,11579,Fruta,fruta,/shelves/congelados/fruta-e-legumes/fruta/11579,,,163,7
3,False,11580,11580,Legumes,legumes,/shelves/congelados/fruta-e-legumes/legumes/11580,,,164,40
3,False,11581,11581,Batatas Pré-Fritas,batatas-pre-fritas,/shelves/congelados/fruta-e-legumes/batatas-pre-fritas/11581,,,165,12
3,False,11582,11582,Gelados,gelados,/shelves/congelados/gelados-e-sobremesas/gelados/11582,,,166,40
3,False,11583,11583,Sobremesas,sobremesas,/shelves/congelados/gelados-e-sobremesas/sobremesas/11583,,,167,15
3,False,11482,11482,Gelo Picado e Cubos,gelo-picado-e-cubos,/shelves/congelados/gelo/gelo-picado-e-cubos/11482,,,168,2
3,False,11644,11644,Pizzas e Lasanhas,pizzas-e-lasanhas,/shelves/refeicoes/refrigeradas/pizzas-e-lasanhas/11644,,,169,21
3,False,11645,11645,Outras Refeições,outras-refeicoes,/shelves/refeicoes/refrigeradas/outras-refeicoes/11645,,,170,8
3,False,11646,11646,Sopas e Cremes,sopas-e-cremes,/shelves/refeicoes/refrigeradas/sopas-e-cremes/11646,,,171,11
3,False,11647,11647,"Saladas, Sandes e Wraps",saladas-sandes-e-wraps,/shelves/refeicoes/refrigeradas/saladas-sandes-e-wraps/11647,,,172,12
3,False,11648,11648,Massas,massas,/shelves/refeicoes/refrigeradas/massas/11648,,,173,15
3,False,11672,11672,Água com Gás,agua-com-gas,/shelves/bebidas/agua/agua-com-gas/11672,,,174,29
3,False,11673,11673,Água sem Gás,agua-sem-gas,/shelves/bebidas/agua/agua-sem-gas/11673,,,175,31
3,False,11674,11674,Água com Sabores,agua-com-sabores,/shelves/bebidas/agua/agua-com-sabores/11674,,,176,4
3,False,11675,11675,Água Tónica e Ginger Ale,agua-tonica-e-ginger-ale,/shelves/bebidas/agua/agua-tonica-e-ginger-ale/11675,,,177,13
3,False,11112,11112,Cerveja Branca,cerveja-branca,/shelves/bebidas/cervejas-e-sidras/cerveja-branca/11112,,,178,40
3,False,11113,11113,Cerveja Preta,cerveja-preta,/shelves/bebidas/cervejas-e-sidras/cerveja-preta/11113,,,179,13
3,False,10341,10341,Cerveja sem Álcool,cerveja-sem-alcool,/shelves/bebidas/cervejas-e-sidras/cerveja-sem-alcool/10341,,,180,10
3,False,10342,10342,Sidras e Panachés,sidras-e-panaches,/shelves/bebidas/cervejas-e-sidras/sidras-e-panaches/10342,,,181,14
3,False,11116,11116,Cervejas Estrangeiras e Artesanais,cervejas-estrangeiras-e-artesanais,/shelves/bebidas/cervejas-e-sidras/cervejas-estrangeiras-e-artesanais/11116,,,182,3
3,False,10011,10011,Refrigerantes com Gás,refrigerantes-com-gas,/shelves/bebidas/refrigerantes-e-sumos/refrigerantes-com-gas/10011,,,183,40
